repeat 0 of each held-out pose. push = cube xy displacement (mm) from reset to first lift frame (or to the last contact frame when never lifted)
label   pose     push_mm faces corner_rej opposition align grip_N  outcome
baseline pose_000    25.7     0          1       0.00  0.39    0.0  collision
baseline pose_001     7.3     0          0       0.00  1.00    0.0  collision
baseline pose_002     4.9     0          0       0.00  1.00    0.0  miss
baseline pose_003    14.5     0          1       0.00  0.23    0.0  collision
baseline pose_004     0.0     0          0       0.00  0.00    0.0  miss
baseline pose_005    17.9     0          1       0.00  0.49    0.0  collision
baseline pose_006     0.0     0          0       0.00  0.00    0.0  miss
baseline pose_007     3.6     2          1       0.00  1.00    0.0  lifted_no_strict_grasp
baseline pose_008     1.8     1          2       0.00  1.00    0.0  lifted_no_strict_grasp
baseline pose_009     8.3     0          0       0.00  1.00    0.0  collision
shift4   pose_000     1.1     1          2       0.00  1.00    0.0  lifted_no_strict_grasp
shift4   pose_001    17.8     0          0       0.00  1.00    0.0  collision
shift4   pose_002     1.5     2          2       1.00  1.00    4.3  success
shift4   pose_003     2.9     2          1       0.00  1.00    0.0  lifted_no_strict_grasp
shift4   pose_004     0.8     3          0       1.00  1.00   51.8  success
shift4   pose_005     8.7     0          0       0.00  1.00    0.0  miss
shift4   pose_006     0.0     0          0       0.00  0.00    0.0  miss
shift4   pose_007     0.8     1          2       0.00  1.00    0.0  lifted_no_strict_grasp
shift4   pose_008     6.8     4          0       1.00  1.00   49.1  success
shift4   pose_009    10.3     0          1       0.00  1.00    0.0  collision
shift12  pose_000     6.6     0          1       0.00  0.08    0.0  collision
shift12  pose_001     3.2     4          0       1.00  1.00   49.5  success
shift12  pose_002     1.1     2          1       1.00  1.00   12.8  strict_then_lost
shift12  pose_003     6.0     0          0       0.00  1.00    0.0  miss
shift12  pose_004     3.2     6          0       1.00  1.00   49.3  success
shift12  pose_005    16.4     0          1       0.00  1.00    0.0  miss
shift12  pose_006     9.5     1          2       0.00  1.00    0.0  lifted_no_strict_grasp
shift12  pose_007     0.7     3          0       1.00  1.00   54.2  success
shift12  pose_008     8.6     2          1       0.00  1.00    0.0  lifted_no_strict_grasp
shift12  pose_009     2.0     1          2       0.00  1.00    0.0  lifted_no_strict_grasp
