monotonic,measured_shoulder_pan,measured_shoulder_lift,measured_elbow_flex,measured_wrist_flex,measured_wrist_roll,measured_gripper,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,hold_reason,settled
0.000,0.055,-90.925,95.405,43.556,-1.099,13.671,0.055,-90.925,94.905,43.556,-1.099,13.671,,0
0.034,0.055,-90.925,95.405,43.556,-1.099,13.671,0.055,-90.925,94.405,43.556,-1.099,13.671,,0
0.067,0.055,-90.925,95.676,43.556,-1.099,13.671,0.055,-90.925,93.905,43.556,-1.099,13.671,,0
0.100,0.055,-90.925,96.126,43.556,-1.148,13.671,0.055,-90.925,93.405,43.556,-1.099,13.671,,0
0.134,0.164,-90.925,96.216,43.643,-1.099,13.671,0.055,-90.925,92.905,43.556,-1.099,13.671,,0
0.167,0.164,-90.925,96.126,43.643,-1.099,13.671,0.055,-90.925,92.405,43.556,-1.099,13.671,,0
0.201,0.055,-90.925,96.126,43.643,-1.099,13.671,0.055,-90.925,91.905,43.556,-1.099,13.671,,0
0.234,0.164,-90.925,96.036,43.643,-1.099,13.671,0.055,-90.925,91.405,43.556,-1.099,13.671,,0
0.267,0.164,-90.925,96.036,43.643,-1.099,13.671,0.055,-90.925,90.905,43.556,-1.099,13.671,,0
0.301,0.055,-90.925,96.036,43.643,-1.099,13.671,0.055,-90.925,90.405,43.556,-1.099,13.671,,0
0.334,0.055,-90.925,96.036,43.643,-1.099,13.671,0.055,-90.925,89.905,43.556,-1.099,13.671,,0
0.368,0.055,-90.925,96.036,43.643,-1.099,13.671,0.055,-90.925,89.405,43.556,-1.099,13.671,,0
0.401,0.055,-90.925,95.766,43.643,-1.099,13.671,0.055,-90.925,88.905,43.556,-1.099,13.671,,0
0.434,0.055,-90.925,95.225,43.643,-1.099,13.671,0.055,-90.925,88.405,43.556,-1.099,13.671,,0
0.468,0.055,-90.925,94.685,43.643,-1.099,13.671,0.055,-90.925,87.905,43.556,-1.099,13.671,,0
0.501,0.055,-90.925,94.144,43.643,-1.099,13.671,0.055,-90.925,87.405,43.556,-1.099,13.671,,0
0.534,0.055,-90.925,93.604,43.643,-1.099,13.671,0.055,-90.925,86.905,43.556,-1.099,13.671,,0
0.568,0.055,-90.925,93.063,43.643,-1.099,13.671,0.055,-90.925,86.405,43.556,-1.099,13.671,,0
0.601,0.055,-90.925,92.523,43.643,-1.099,13.671,0.055,-90.925,85.905,43.556,-1.099,13.671,,0
0.635,0.055,-90.925,91.982,43.643,-1.099,13.671,0.055,-90.925,85.905,43.556,-1.099,13.671,,1
