step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,0.0,-7.535,0,0,0.001721,-2.856502,2.852906,1.371101,-0.034523,0.232399,0.002817,-2.846696,2.836513,1.376771,-0.032631,0.297010,0.002817,-2.846696,2.836513,1.376771,-0.032631,0.297010,0.002817,-2.846696,2.836513,1.376771,-0.032631,0.297010,0.089668,-90.613144,90.289001,43.823975,-1.038666,17.471201,0.089668,-90.613144,90.289001,43.823975,-1.038666,17.471201,1953,1049,3059,2505,2026,2174,,0,1204,1789007451.730639,26.6,1.46,17.02,2.83,0.52,3.82,33.45
1,0,0.03333333333333333,-24.564,0,0,0.001721,-2.856502,2.852906,1.371101,-0.034523,0.232399,0.001127,-2.850835,2.832972,1.384334,-0.032440,0.294361,0.001127,-2.850835,2.832972,1.384334,-0.032440,0.294361,0.001127,-2.850835,2.832972,1.384334,-0.032440,0.294361,0.035873,-90.744881,90.176300,44.064713,-1.032600,17.315351,0.035873,-90.744881,90.176300,44.064713,-1.032600,17.315351,1952,1048,3057,2507,2026,2172,,0,,,,1.34,,0.02,0.49,6.40,33.00
2,0,0.06666666666666667,-29.674,0,0,0.001721,-2.856502,2.852906,1.371101,-0.034523,0.232399,-0.000840,-2.855556,2.827786,1.392951,-0.032313,0.292766,-0.000840,-2.855556,2.827786,1.392951,-0.032313,0.292766,-0.000840,-2.855556,2.827786,1.392951,-0.032313,0.292766,-0.026726,-90.895157,90.011215,44.339005,-1.028557,17.221531,-0.026726,-90.895157,90.011215,44.339005,-1.028557,17.221531,1952,1046,3056,2510,2026,2170,,0,,,,1.47,,0.02,0.41,1.47,33.18
3,0,0.1,-29.563,0,0,0.001721,-2.856502,2.861397,1.373846,-0.034523,0.239371,-0.003020,-2.860230,2.821541,1.401698,-0.032174,0.292317,-0.003020,-2.860230,2.821541,1.401698,-0.032174,0.292317,-0.003020,-2.860230,2.821541,1.401698,-0.032174,0.292317,-0.096138,-91.043945,89.812439,44.617432,-1.024139,17.195129,-0.096138,-91.043945,89.812439,44.617432,-1.024139,17.195129,1951,1044,3053,2514,2026,2170,,0,,,,1.42,,0.02,0.40,1.63,33.20
4,0,0.13333333333333333,-29.657,0,0,0.001721,-2.856502,2.878378,1.387571,-0.034523,0.262611,-0.005016,-2.864572,2.814771,1.409703,-0.031994,0.291882,-0.005016,-2.864572,2.814771,1.409703,-0.031994,0.291882,-0.005016,-2.864572,2.814771,1.409703,-0.031994,0.291882,-0.159676,-91.182144,89.596939,44.872253,-1.018402,17.169529,-0.159676,-91.182144,89.596939,44.872253,-1.018402,17.169529,1951,1043,3051,2517,2026,2170,,0,,,,1.47,,0.02,0.38,1.53,33.22
5,0,0.16666666666666666,-29.408,0,0,0.005164,-2.856502,2.884039,1.398551,-0.034523,0.274231,-0.006324,-2.868609,2.808477,1.416171,-0.031790,0.290072,-0.006324,-2.868609,2.808477,1.416171,-0.031790,0.290072,-0.006324,-2.868609,2.808477,1.416171,-0.031790,0.290072,-0.201294,-91.310654,89.396606,45.078110,-1.011902,17.063038,-0.201294,-91.310654,89.396606,45.078110,-1.011902,17.063038,1950,1041,3049,2519,2026,2168,,0,,,,1.45,,0.02,0.38,1.76,33.21
6,0,0.2,-29.416,0,0,0.005164,-2.856502,2.881208,1.406786,-0.034523,0.278879,-0.006592,-2.872322,2.803560,1.420953,-0.031617,0.286174,-0.006592,-2.872322,2.803560,1.420953,-0.031617,0.286174,-0.006592,-2.872322,2.803560,1.420953,-0.031617,0.286174,-0.209816,-91.428856,89.240097,45.230347,-1.006401,16.833769,-0.209816,-91.428856,89.240097,45.230347,-1.006401,16.833769,1950,1040,3047,2521,2026,2165,,0,,,,1.50,,0.05,0.40,1.63,33.16
7,0,0.23333333333333334,-29.601,0,0,0.001721,-2.856502,2.881208,1.415021,-0.034523,0.282365,-0.005473,-2.875997,2.800706,1.425104,-0.031417,0.280655,-0.005473,-2.875997,2.800706,1.425104,-0.031417,0.280655,-0.005473,-2.875997,2.800706,1.425104,-0.031417,0.280655,-0.174210,-91.545815,89.149246,45.362457,-1.000023,16.509092,-0.174210,-91.545815,89.149246,45.362457,-1.000023,16.509092,1950,1039,3046,2522,2027,2160,,0,,,,1.43,,0.02,0.39,1.58,33.17
8,0,0.26666666666666666,-29.813,0,0,0.001721,-2.856502,2.881208,1.420511,-0.034523,0.282365,-0.003135,-2.879904,2.799991,1.429716,-0.031273,0.274650,-0.003135,-2.879904,2.799991,1.429716,-0.031273,0.274650,-0.003135,-2.879904,2.799991,1.429716,-0.031273,0.274650,-0.099792,-91.670181,89.126480,45.509262,-0.995438,16.155907,-0.099792,-91.670181,89.126480,45.509262,-0.995438,16.155907,1951,1037,3046,2524,2027,2155,,0,,,,1.30,,0.02,0.37,1.50,33.19
9,0,0.3,-29.711,0,0,0.005164,-2.856502,2.881208,1.423255,-0.034523,0.282365,-0.000456,-2.883237,2.800615,1.434351,-0.031196,0.269022,-0.000456,-2.883237,2.800615,1.434351,-0.031196,0.269022,-0.000456,-2.883237,2.800616,1.434351,-0.031196,0.269022,-0.014519,-91.776276,89.146347,45.656815,-0.992996,15.824795,-0.014519,-91.776276,89.146347,45.656815,-0.992996,15.824795,1952,1036,3046,2526,2027,2150,,0,,,,1.36,,0.03,0.43,1.51,33.25
