step,boundary,start_monotonic,lateness_ms,overrun,reanchored,measured_act_shoulder_pan,measured_act_shoulder_lift,measured_act_elbow_flex,measured_act_wrist_flex,measured_act_wrist_roll,measured_act_gripper,policy_act_shoulder_pan,policy_act_shoulder_lift,policy_act_elbow_flex,policy_act_wrist_flex,policy_act_wrist_roll,policy_act_gripper,requested_act_shoulder_pan,requested_act_shoulder_lift,requested_act_elbow_flex,requested_act_wrist_flex,requested_act_wrist_roll,requested_act_gripper,executed_act_shoulder_pan,executed_act_shoulder_lift,executed_act_elbow_flex,executed_act_wrist_flex,executed_act_wrist_roll,executed_act_gripper,sent_physical_shoulder_pan,sent_physical_shoulder_lift,sent_physical_elbow_flex,sent_physical_wrist_flex,sent_physical_wrist_roll,sent_physical_gripper,returned_physical_shoulder_pan,returned_physical_shoulder_lift,returned_physical_elbow_flex,returned_physical_wrist_flex,returned_physical_wrist_roll,returned_physical_gripper,raw_goal_ticks_shoulder_pan,raw_goal_ticks_shoulder_lift,raw_goal_ticks_elbow_flex,raw_goal_ticks_wrist_flex,raw_goal_ticks_wrist_roll,raw_goal_ticks_gripper,hold_reason,consecutive_holds,frame_seq,frame_unix_time,frame_age_ms,read_ms,observe_ms,infer_ms,gate_ms,send_ms,step_ms
0,1,,0.000,0,0,0.015493,-2.853716,2.867991,1.371119,-0.037592,0.230075,0.015001,-2.852828,2.864039,1.370989,-0.037423,0.231244,0.015001,-2.852828,2.864039,1.370989,-0.037423,0.231244,0.015001,-2.852828,2.864039,1.370989,-0.037423,0.231244,0.477493,-90.808334,91.165192,43.639923,-1.191223,13.602596,,,,,,,1956,1047,3068,2502,2023,2118,,0,0,0.020000,0.0,0.10,4932.43,2.98,0.50,0.89,4937.94
1,0,,0.000,0,0,0.015488,-2.853730,2.870516,1.371165,-0.037589,0.230091,0.014987,-2.852874,2.863954,1.370969,-0.037421,0.231239,0.014987,-2.852874,2.863954,1.370969,-0.037421,0.231239,0.014987,-2.852874,2.863954,1.370969,-0.037421,0.231239,0.477051,-90.809784,91.162491,43.639282,-1.191154,13.602302,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.26,0.70,1.78
2,0,,0.000,0,0,0.015481,-2.853742,2.872509,1.371212,-0.037586,0.230110,0.015030,-2.852947,2.863945,1.370897,-0.037413,0.231242,0.015030,-2.852947,2.863945,1.370897,-0.037413,0.231242,0.015030,-2.852947,2.863944,1.370897,-0.037414,0.231242,0.478424,-90.812111,91.162186,43.637009,-1.190910,13.602442,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.26,0.71,1.81
3,0,,0.000,0,0,0.015476,-2.853754,2.873771,1.371254,-0.037583,0.230128,0.015102,-2.853017,2.863990,1.370818,-0.037396,0.231272,0.015102,-2.853017,2.863990,1.370818,-0.037396,0.231272,0.015102,-2.853017,2.863990,1.370818,-0.037396,0.231272,0.480698,-90.814362,91.163620,43.634491,-1.190353,13.604241,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.28,0.67,1.81
4,0,,0.000,0,0,0.015471,-2.853767,2.874622,1.371297,-0.037580,0.230148,0.015209,-2.853092,2.864049,1.370765,-0.037377,0.231346,0.015209,-2.853092,2.864049,1.370765,-0.037377,0.231346,0.015209,-2.853092,2.864049,1.370765,-0.037377,0.231346,0.484131,-90.816750,91.165512,43.632812,-1.189743,13.608596,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.26,1.35,2.82
5,0,,0.000,0,0,0.015467,-2.853781,2.875145,1.371339,-0.037576,0.230168,0.015350,-2.853165,2.864102,1.370720,-0.037357,0.231441,0.015350,-2.853165,2.864102,1.370720,-0.037357,0.231441,0.015350,-2.853165,2.864102,1.370720,-0.037357,0.231441,0.488594,-90.819046,91.167191,43.631363,-1.189102,13.614204,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.02,0.35,0.83,2.16
6,0,,0.000,0,0,0.015465,-2.853795,2.875456,1.371375,-0.037573,0.230188,0.015476,-2.853233,2.864140,1.370642,-0.037340,0.231507,0.015476,-2.853233,2.864140,1.370642,-0.037340,0.231507,0.015476,-2.853233,2.864140,1.370642,-0.037340,0.231507,0.492607,-90.821220,91.168396,43.628906,-1.188568,13.618067,,,,,,,1956,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.25,0.72,1.80
7,0,,0.000,0,0,0.015465,-2.853811,2.875669,1.371413,-0.037569,0.230211,0.015559,-2.853286,2.864146,1.370540,-0.037327,0.231516,0.015559,-2.853286,2.864146,1.370540,-0.037327,0.231516,0.015559,-2.853286,2.864146,1.370540,-0.037327,0.231516,0.495255,-90.822922,91.168610,43.625656,-1.188148,13.618594,,,,,,,1957,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.28,0.70,1.85
8,0,,0.000,0,0,0.015466,-2.853827,2.875802,1.371449,-0.037565,0.230233,0.015615,-2.853332,2.864106,1.370435,-0.037311,0.231450,0.015615,-2.853332,2.864106,1.370435,-0.037311,0.231450,0.015615,-2.853332,2.864106,1.370435,-0.037311,0.231450,0.497055,-90.824364,91.167328,43.622299,-1.187660,13.614708,,,,,,,1957,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.25,0.69,1.77
9,0,,0.000,0,0,0.015467,-2.853843,2.875874,1.371480,-0.037560,0.230253,0.015704,-2.853370,2.864054,1.370367,-0.037290,0.231277,0.015704,-2.853370,2.864054,1.370367,-0.037290,0.231277,0.015704,-2.853370,2.864054,1.370367,-0.037290,0.231277,0.499870,-90.825600,91.165665,43.620148,-1.186989,13.604546,,,,,,,1957,1047,3068,2502,2023,2118,,0,,,,0.05,,0.01,0.25,0.69,1.78
